algorithm,full_train_time,full_predict_time,full_y_train_accuracy,full_y_test_accuracy,early_train_time,early_predict_time,early_y_train_accuracy,early_y_test_accuracy
random_hill_climb,1.4927914509406457,0.0016872149247389573,0.4125220573818705,0.38878748370273797,1.4999054945432222,0.0017521381378173828,0.42846872753414805,0.3966101694915254
simulated_annealing,1.9101395423595722,0.0018130174049964319,0.388569374550683,0.3713168187744459,1.9443479409584632,0.0017312031525831956,0.3976537481210378,0.3757496740547588
genetic_alg,71.68934244375963,0.0017168399615165514,0.39772999586083696,0.37592351151673187,14.932617584864298,0.0016718460963322567,0.40799076313094995,0.3803563667970447
gradient_descent,54.277241738942955,0.001694170328286978,0.40561074439579137,0.38181225554106896,11.321009814739227,0.0016599480922405536,0.4123913469707864,0.38233376792698814
