algorithm,full_train_time,full_predict_time,full_y_train_accuracy,full_y_test_accuracy,early_train_time,early_predict_time,early_y_train_accuracy,early_y_test_accuracy
RHC,1.461374283,0.001528343,0.418011895,0.398870056,1.504003366,0.001528343,0.407533277,0.38079096
GA,1.741059581,0.001516859,0.412914189,0.385875706,1.771341046,0.001516859,0.373831776,0.35819209
SA,72.34812456,0.001504209,0.420277542,0.388323917,10.69782959,0.001504209,0.394317002,0.369114878
SGD,54.78371658,0.001521826,0.423959218,0.389548023,8.104919275,0.001521826,0.404488813,0.375141243
